received_at,shortcode,platform,url,author,tag,title,one_liner,caption,key_points,transcript,has_video,image_count,recipe_ingredients,recipe_instructions,recipe_prep_time,recipe_servings,sent_in_newsletter
2026-07-28T15:31:46+00:00,DbDK03zmHXz,instagram,https://www.instagram.com/p/DbDK03zmHXz,Think GPT,ai,Use Claude to Apply Nietzsche's Philosophy to Your Life,"Three prompts that install Nietzsche's self-actualization philosophy inside Claude AI, for free.","Nietzsche believed most people never actually become themselves. They live by inherited beliefs, chase goals handed to them by family or society, and defend standards they never actually chose.

He called this the herd mentality — and said escaping it was the hardest and most necessary confrontation a person can have with themselves.

He wrote his entire philosophy while losing his health, his sanity, and nearly everyone who knew him. He believed becoming who you actually are requires exactly that kind of cost — leaving behind what's comfortable, safe, and expected.

Most solopreneurs are running someone else's version of success. Nietzsche would say that's a real failure, not the business not working, but never finding out who you actually are underneath what you were told to want.

Claude now runs that exact philosophy on your life and business.

Here are 3 prompts that install Nietzsche's system inside Claude.

(Save this. Run it before you chase the next goal that was never really yours.)

Join my Telegram for daily AI prompts, frameworks, and strategies. New prompt every morning. Click the link in bio.","Claude can be prompted to run Nietzsche's philosophy of self-becoming on your life and business | Nietzsche's core idea: most people live by inherited beliefs and never discover their authentic self (herd mentality) | Solopreneurs chasing society's version of success are failing at self-actualization, per Nietzsche | Save and use the 3 provided prompts before pursuing any goal that may not truly be yours",,no,5,,,,,
2026-07-26T07:43:47+00:00,Da3mUN6j-I8,instagram,https://www.instagram.com/p/Da3mUN6j-I8,Artificial Intelligence l Business,ai,China Open-Sources Free Local AI Agent Memory,Tencent's open-source Agent Memory lets AI agents remember everything locally for free using a readable semantic pyramid.,"Follow @thewizeai to stay ahead with AI

Comment “PROMPTS” and we will send you 50 of our best AI prompts for productivity and decision making straight to your DM for free.

The concept underneath Tencent’s Agent Memory is a semantic pyramid. Raw conversations become atoms, atoms roll up into scenarios, scenarios roll up into a persona, and every layer stays as readable markdown you can open, audit, and edit.

That auditability is the actual breakthrough. Vector memories fail silently because nobody can inspect them. A memory you can read and correct turns your assistant’s picture of you into something you own instead of something you hope is accurate.

Follow @thewizeai to stay ahead with AI

Source: https://github.com/TencentCloud/TencentDB-Agent-Memory

#AI #OpenSource #AIAgents #ArtificialIntelligence #TechNews","Tencent open-sourced Agent Memory, replacing paid memory layers with a free local alternative | Uses a semantic pyramid: raw conversations → atoms → scenarios → persona, all stored as readable markdown | Auditability is the key breakthrough — unlike vector memories, you can inspect, edit, and own your agent's memory | Available on GitHub under TencentCloud/TencentDB-Agent-Memory",,no,5,,,,,
2026-07-09T10:43:46+00:00,DaiS_8UDtSt,instagram,https://www.instagram.com/p/DaiS_8UDtSt,Matt Gray,marketing,Create Content Like a Media Company,Shift from employee-style content creation to a media company mindset to make every idea work harder.,"The best content system doesn’t make you work more.

It makes every idea work harder.

Comment “WATERFALL” and I’ll send you the framework.","Stop creating content like an employee — reactive, one-off, and exhausting | Start creating content like a media company — systematic and scalable | A strong content system makes every idea work harder, not you | DM 'WATERFALL' to receive the creator framework",,no,5,,,,,2026-07-10
2026-07-08T09:39:41+00:00,DaWcIO8ColH,instagram,https://www.instagram.com/reel/DaWcIO8ColH,richard sabiaga,marketing,Forget Content Formats — Understand Frequency,"Viral content comes from understanding your audience's emotions, not copying someone else's format or system.","i love me a content guru who says the only way to go viral is by using their formats and systems that they created that only works for them 😻 (sarcasm)

there is no one size fits all solution

but when you understand the frequency and philosophy

you can make systems that apply to YOU

especially if you wanna do it in a way that feels aligned and authentic to your truth?

you won’t get that with a 30 day AI content plan 🤣

you get it with self reflection, understanding, a little trial and error, and being seen by people who understand you enough to tell you what they see in you

If you want that community and help from me,

comment ‘inevitable’ and I’ll reach out

you deserve to honor your authenticity

not sold into another box that keeps you from shining","Emotion drives virality — content that sparks connection, anger, or excitement gets shared organically | Systems and formats work, but they stem from a deeper 'frequency' you can't copy from someone else | Authentic content creation requires self-reflection and trial-and-error, not a 30-day AI plan | Know your audience so well you say the things others aren't saying — that's what drives organic sharing","So this post two days ago got me 60,000 followers. Here's what I hate about content guru's advice as someone who actually has five million across platforms. Content creation can be as simple as you allow it to be. Guess what? I scripted, filmed, edited, and posted that video in 20 minutes. All you need for virality is this. Understand your audience, which is a reflection of you so well, that you say the things that bring out emotion because when people feel things, be it connection, anger, excitement, it sparks engagement. And then, when you say the things that people aren't saying, they share it organically. If you understand the principles of content and why it works, you don't need to follow a fucking format and system that waters down your authenticity. It allows you to be creative and original because ultimately, it's about making something that you're proud of. Do systems and formats work? Yes, but where do you think they come from? You can copy the actions and routines and systems, but you cannot copy the frequency, the source of all of it. When you understand frequency, you become inevitable. If you want help with content coaching and want your message to reach more people, comment inevitable, I'll reach out, or don't comment it, the information's all here.",yes,0,,,,,2026-07-10
2026-07-08T08:16:04+00:00,fbs1BmYx5p2g7,facebook,https://www.facebook.com/share/r/1BmYx5p2g7/?mibextid=wwXIfr,Alan Parsemain ,food,"Kefbab: Kebab, Tzatziki & Sweet Potato Wedges",A grilled ground beef kebab recipe served with homemade tzatziki and spiced sweet potato wedges.,"The « kefbab » recipe 👇

🥩kebab:
• ground beef
• paprika, chili, cumin, coriander garlic, onion
parsley salt, pepper
→ mix everything
→ press flat on a tray → pre-cut into portions
→ cook on grill mode (max heat)
→ place very close to the grill → cooks fast = juicy inside, crispy outside

🥒tzatziki:
• greek yogurt
• Cucumber
• dill, parsley garlic
• lemon juice olive oil salt, pepper
• little bit of honey
→ mix everything

🍠sweet potatoes:
• cut into wedges olive oil
• paprika, cumin, coriander
• chili flakes salt, pepper honey
→ mix well, bake at 250c for 20-30min

That’s it","Flatten spiced ground beef on a tray, pre-cut, then grill at max heat close to the element for juicy inside and crispy outside | Tzatziki combines Greek yogurt, cucumber, dill, parsley, garlic, lemon juice, olive oil, and a touch of honey | Sweet potato wedges are seasoned with paprika, cumin, coriander, chili flakes, and honey, then baked at 250°C for 20–30 min","Last night I dreamt of San Pedro Just like I've never gone, I knew this song Young girl with eyes like the desert It all seems like yesterday, not far away Tropical, the island breeze All the nature, wild and free This is where I long to be La Isla Bonita And when the summer breaks",yes,0,ground beef | paprika | chili | cumin | coriander | garlic | onion | parsley | salt | pepper | Greek yogurt | cucumber | dill | lemon juice | olive oil | honey | sweet potatoes | olive oil (for wedges) | chili flakes,"1. Mix ground beef with paprika, chili, cumin, coriander, garlic, onion, parsley, salt, and pepper. | 2. Press mixture flat on a tray and pre-cut into portions. | 3. Grill on max heat, placing tray very close to the grill until crispy outside and juicy inside. | 4. Mix Greek yogurt, cucumber, dill, parsley, garlic, lemon juice, olive oil, salt, pepper, and a little honey for tzatziki. | 5. Cut sweet potatoes into wedges, toss with olive oil, paprika, cumin, coriander, chili flakes, salt, pepper, and honey. | 6. Bake sweet potato wedges at 250°C for 20–30 minutes.",20 min,,2026-07-10
2026-07-08T05:31:36+00:00,fbs1Cx67jKEjS,facebook,https://www.facebook.com/share/r/1Cx67jKEjS/?mibextid=wwXIfr,Jason and Lauren Pak,fitness,Train Lower Body Like an Athlete,"Combine power, isolation, and functional work across hamstrings, quads, and glutes for athletic leg training.","Training lower body like an athlete!

Here’s how I build stronger, more powerful legs, using a mix of power, isolation, and functional work for each major muscle group (in order of the video: hamstrings, quads, and glutes)

And of course, we also train raw strength with the classics:
✔️Deadlifts for hamstrings
✔️Squats for quads
✔️Hip thrusts for glutes

Because if you want to move and perform like an athlete, you need to combine power, strength, and function - not just one or the other 🔥

Shoes are @vivobarefoot code PAK25OFF

#lowerbody #legday #legworkout #trainlikeanathlete #jasonandlaurenpak","Train hamstrings with deadlifts plus power and functional variations | Build quads using squats alongside isolation and functional exercises | Develop glutes with hip thrusts combined with power and functional work | Athletic performance requires combining strength, power, and function — not just one",Thank you for watching.,yes,0,,,,,2026-07-10
2026-07-07T16:07:00+00:00,DaVHqXbEYoR,instagram,https://www.instagram.com/reel/DaVHqXbEYoR,Paget Kagy | Quantum Queen,psychology,Resistance Means You're Almost There,"Increased obstacles near your goal signal internal resistance, not external punishment — you're close to winning.","It's not punishment. It's proof you're inches from the rim 🏀
ㅤ
#manifestation #fearofsuccess #upperlimit #manifestingabundance #spiritualgrowth #womeninbusiness #higherself","Defense gets heaviest when you're closest to the basket — same applies to life goals | External setbacks mirror your own internal fear of success, not the universe blocking you | The louder your doubts, the closer you are to breakthrough | Walk into the resistance instead of retreating from it","Universe, why is everything getting harder the closer I get? The biggest client just backed out this morning. The investor pulled the funding. The man that I thought I was finally ready to commit to is pulling away. I am this close. Is this even meant for me? Of course it is. Then why is this happening? Let me ask you something, okay? In a basketball game, when is the defense the lightest? On the other side of the basket? Right, and when is it the heaviest? When you're close to the basket. When you're an inch from the rim, body's in front of you, hands in your face, five players headed straight towards you. Okay, that's what's happening to you right now. Oh, far from your goal, there was no resistance because you weren't close enough to be a threat. Now you're a threat, so everything that doesn't want you to score is showing up at once. So it's not the universe punishing me? It's the universe mirroring your own resistance to success. My resistance? Every doubt that's loudest right now, it's yours. Every obstacle feels designed to stop you because it's the version of you that's terrified to win. Oh my gosh. The closer you get to the goal, the more your own internal defenses rise up because some part of you doesn't know who you'll be when you finally have what you want. So what do I do? Walk into the resistance. This isn't proof it's not meant for you. It's proof you're inches from the rim.",yes,0,,,,,2026-07-10
2026-07-07T06:49:16+00:00,Dads19hh_3B,instagram,https://www.instagram.com/reel/Dads19hh_3B,Harry Miller,psychology,Stop Trying: Effortless Action and Belief,Perceived difficulty is mimetic — stop trying hard and let belief replace effortful thinking.,"If you try, you won’t. Cool guy doesn’t rush. Being chill never broke a sweat. Just because it was hard for your father, doesn’t mean it has to be hard for you.","Mimicry shapes difficulty: a panda grimaces breaking bamboo because it copied humans, proving nocebo and predictive processing inflate struggle | Girard's mimetic theory says we imitate desires and actions from prestigious mediators, making neutral tasks feel harder than they are | Wu-wei, Stoicism, and Schopenhauer align: the intellect interferes with instinct — strip concepts and personality to act effortlessly | Belief is not gaining new information but forgetting limiting concepts; childlike faith bypasses scheming and dissolves perceived obstacles","Things get easier the easier you make them look. There's a panda who was raised by humans, and she grimaces every time she breaks bamboo because that's what she saw her human caretakers do. Naturally, pandas are strong enough to break this no problem. She does this solely as a product of imitation, and this really lends towards Girard's mimetic theory that humans naturally don't really know how to do anything or what to want, and that we imitate desires and we imitate actions. And we learn this from mediators, and it's the prestigious mediators that modify how we view an object. So for example, this panda sees humans wincing when they break bamboo, and now all of a sudden the bamboo becomes harder to break. This is because the brain creates forward models and practices predictive processing and motor control. You see this in the size-weight illusion, where the brain miscalculates motor output for different sized objects, even though the person knows that the weight is the same. In this case, when a task becomes harder, it's the opposite of placebo, it's nocebo. The weight is perceived heavier. The situation more difficult. Rather than pro-noy, one experiences paranoia. They think everybody's out to get them. Everything becomes harder. And this is not new. Epictetus says it. Marcus Aurelius says it. Seneca says it. But my favorite is Menander. You've suffered nothing terrible unless you pretend that you have. You have to pretend to suffer. A man is only as miserable as he thinks he is. Nothing is good or bad, but thinking makes it so. So think right. Of course, this is the concept of like wu-wei and Taoism. This is effortless action. To be in harmony with nature, to be a natural. Nature never rushes, yet everything is accomplished. Nature doesn't sweat it. Nature doesn't try hard, it just does. Do or do not, there is no try, says Yoda. Why? Because through mimesis, Luke has created these schemas in his mind that keep him from using the force. So when the child tries to get Neo to bend the spoon, he can't do it. Neo's mind is clouded with thoughts of metallurgy and his mind tells him, this is a spoon, this is a spoon, this is a spoon. And so you ask the kid, how do you bend the spoon? The child simply says, there is no spoon. He's beginning to believe Morpheus says later. Belief is not the attainment of new information, it's the forgetting of concepts. It's the annihilation of the idea of the spoon. It's forgetting the hardness of the bamboo. Removing opinion and prejudice and personality. Because I agree with Schopenhauer. The individual intellect interferes with the will, the instinct. Will is limbic and existed before the frontal lobe. The intellect serves the will, all is will. But the material world gets in the way. Rationality and desire gets in the way. The idea of the X-wing and the spoon and the bamboo. That is why the first statement of the Lord's Prayer, after addressing the Father is, thy kingdom come, thy will be done, on earth as it is in heaven. Or as Jesus says in Gethsemane, your will, not mine. It's the stripping of intellect and personality in favor of the universal, the force. And when you believe, it doesn't require effort. There's a story of the centurion asks for Jesus to heal his servant. And Jesus says, yeah, do you want me to walk over there? And the centurion is like, no, I'm your servant, just say it and it'll be done. And Jesus says, he displays the most belief out of all the people in Israel. He doesn't need Jesus to make an effort. He believes, it's as simple as that. Faith and belief confound the minds of scientists. They have to call it spooky action in the distance. Stop trying so hard, stop scheming and plotting. Roadrunner never tries, it always goes unharmed. While Wile E. Coyote devises clever and cleverer plans that always explode in his face. Silly rabbit, tricks are for kids. The deceptive rabbit doesn't realize that he just needs to become childlike. There's nothing to do. There's no disguise he can wear, no plan he can come up with. Unless you become like a child, you will not enter the kingdom of heaven. You must become a child again. The child knows no names and concepts. He knows that there is no spoon. Childlike innocence always beats devious scheming. Being present requires a permanent state of selectively optimistic amnesia. Don't try it, just do it. Every kid understands this. Luke, Neo, Roadrunner, Jesus Christ. Don't try, silly panda. There is no bamboo.",yes,0,,,,,2026-07-10
2026-07-06T02:06:49+00:00,fbs1QxcDuWjZD,facebook,https://www.facebook.com/share/r/1QxcDuWjZD/?mibextid=wwXIfr,Marina Lydia Georgallides,food,Greek Lamb Chops (Paidakia) Recipe,"Juicy Greek-style grilled lamb chops marinated in olive oil, lemon, garlic, and oregano.","Ep 102 of EAT LIKE A GREEK🇬🇷✨PAIDAKIA😮‍💨 follow @chefmarinie for more easy Greek recipes! 

If there’s one thing Greeks know how to do… it’s lamb 😮‍💨and these lamb chops right here are hands down the juiciest ones you’ll ever eat 👏🏻

📌RECIPE BELOW - 8 lamb chops - serves 2-3

Gather 
8 lamb chops 

For the marinade 
50ml extra virgin Greek olive oil 
1 lemon, juiced 
3 garlic cloves, grated 
2 tbsp dried oregano 
1 tsp dried thyme 
1 1/2 tsp pink Himalayan sea salt 
1/2 tsp ground black pepper 

Method 
1.) Prepare the marinade by mixing all the ingredients together in a jug. 
2.) In a large mixing bowl, place the lamb chops and coat them in the marinade. Mix to combine well and cover and refrigerate for at least two hours to let the flavours marinate. 
3.) Let the lamb rest out of the fridge for 20-30 minutes, depending on how warm your kitchen is. This process allows the lamb to develop a crispy edge. 
4.) Heat up a griddle pan over a medium to high heat. After 3-4 minutes, place each lamb chop, leaving a little gap between each one. Cook for 4 minutes on both sides, and 30 seconds on the fat side down. 
5.) Place the cooked lamb chops on a plate and leave to rest for at least 5 minutes. Meanwhile, pour the raw marinade into a saucepan with a few splashes of water.  Let it bubble briskly for 3-4 minutes on a high heat, stirring, until it’s simmered well throughout. This cooks off any bacteria that may have come from the raw lamb. 
6.) Pour the cooked sauce over the lamb chops and serve with a wedge of lemon. I recommend serving with tzatziki and a potato salad. 

#lamb #easyrecipe #greekfood","Marinate lamb chops in olive oil, lemon, garlic, oregano, thyme, salt, and pepper for at least 2 hours | Rest chops out of the fridge 20–30 minutes before cooking for a crispier edge | Griddle on medium-high heat for 4 minutes each side, plus 30 seconds fat-side down | Boil the used marinade with water for 3–4 minutes to cook off bacteria, then pour over chops to serve","If you're not making lamb chops like this, then I seriously don't know what you're doing. Welcome back to another episode of Eat Like a Greek. And today, I'm sharing my recipe for bybagia, aka the juiciest lamb chops you'll ever eat. It all starts off with the most simple but delectable marinade of olive oil, always extra slutty. Not one, not two, but three garlic cloves. And the rest of the ingredients you find listed in the caption. Let the chops marinate for at least two hours in the fridge, then rest them for 20 minutes before cooking on medium to high heat for four minutes on both sides. Always serve with a wedge of lemon, and make sure you follow along for more easy Greek recipes.",yes,0,"8 lamb chops | 50ml extra virgin Greek olive oil | 1 lemon, juiced | 3 garlic cloves, grated | 2 tbsp dried oregano | 1 tsp dried thyme | 1½ tsp pink Himalayan sea salt | ½ tsp ground black pepper","1. Mix olive oil, lemon juice, grated garlic, oregano, thyme, salt, and pepper together in a jug to make the marinade. | 2. Coat lamb chops in the marinade, cover, and refrigerate for at least 2 hours. | 3. Remove chops from fridge and rest at room temperature for 20–30 minutes. | 4. Heat a griddle pan over medium-high heat for 3–4 minutes, then cook chops 4 minutes per side and 30 seconds fat-side down. | 5. Rest cooked chops on a plate for at least 5 minutes. | 6. Pour raw marinade into a saucepan with a splash of water and boil briskly for 3–4 minutes, then pour over chops and serve with lemon wedge, tzatziki, and potato salad.",2 hrs 30 min (including marinating),2–3,2026-07-10
2026-07-04T22:09:33+00:00,DaWQd3Oy46p,instagram,https://www.instagram.com/reel/DaWQd3Oy46p,caro brooks,psychology,You Find Your Voice By Using It,There is no 'ready' — growth happens by acting before you feel prepared.,"i've spent my life believing i had to be some kind of ""finished product"" before i could be seen, or that i had to be *more* than i was - more confident, more skilled, more beautiful, more fit, more intelligent, more well-spoken (the list was infinite)... 

what if ""ready"" isn't a place where we arrive, but a feeling we create through doing things *unready*? 

you're cordially invited to experiment with doing it UNready with me. 💕

#ready #realization #innermonologue","You don't find your voice first and then share it; you find it through sharing it | Waiting until you're 'ready' is chasing an elusive, never-reachable standard | Doing things 'unready' is the only real path to becoming ready | Progress requires letting others see you in process, not just the polished result","Oh, you don't find your voice and then share it. You find it through sharing it. Oh, I've had it backwards this whole time. I have spent nearly 40 years trying to do everything in the background, not letting anyone see me in process. Let me just go figure this out behind closed doors, whether that be like my own emotions or opinions or a particular skill that I wanna do. Let me get private lessons and then practice privately. No one can see me until I'm ready to be seen until I've met some kind of standard that I set for myself, some elusive, never reachable standard and just constantly tell myself, well, I'm not ready yet. What if you only get ready by doing it unready? So this is my experiment in doing it unready. This is my experiment in using my voice while I'm finding my voice, not after. There is no such thing as ready. There's no such place. This is the place. Come like experiment here with me. Come learn here with me. Come do it unready with me. I'm so tempted to just play a freaking piece on the piano right now just to show my process of being bad at something that I would like to be good at. Maybe I will.",yes,0,,,,,2026-07-10
